word,value
trump,0.02276924
media,0.012378483
going,0.012314101
space,0.00933855
mexican,0.008272828
wall,0.008074386
judge,0.0077582137
racist,0.0076951985
white,0.007656632
lawyers,0.007590083
illegal,0.0074151815
build,0.0073179607
organization,0.00708097
presidential,0.0070245177
hubble,0.0068054046
webb,0.005589901
james,0.0052288356
books,0.005094591
universe,0.0050771185
text,0.0048341136
peer,0.004682023
workers,0.004625514
telescope,0.0045693023
republican,0.0043440987
donald,0.00433979
scientists,0.0043323003
scholarships,0.004328839
nominee,0.0043027587
mexicans,0.004284672
rulings,0.0042713485
breitbart,0.0042710425
nomination,0.0041967602
aliens,0.004196456
telling,0.0041588815
ensure,0.0041490686
outraged,0.004121379
life,0.0040991707
male,0.0040844013
people,0.0040649055
firm,0.004063588
meaning,0.004053352
association,0.0040441873
french,0.004042054
pause,0.004038283
ann,0.004024936
san,0.004014244
bill,0.004002583
law,0.003994306
belonged,0.003977223
speeches,0.003973413
violated,0.0039731367
words,0.003963228
pen,0.003961181
sends,0.00395639
hates,0.00391262
raza,0.0039053562
immigrant,0.0039019976
hate,0.0038707976
diego,0.003857151
coulter,0.0038531835
call,0.003845093
stunning,0.0038300364
thousands,0.0038265772
states,0.003818787
spent,0.003812472
hearings,0.0038043226
federal,0.0038042078
whatever,0.0038022015
curiel,0.0037828754
distributed,0.0037747556
university,0.0037697374
months,0.0037582365
title,0.003745288
paid,0.0037397149
dollars,0.0037348901
imagine,0.003707946
united,0.003698509
race,0.0036635518
entire,0.0036435237
gop,0.003640923
belongs,0.0036331378
case,0.0036323376
persistent,0.0036222872
calls,0.0035814585
hundreds,0.0035801409
gonzalo,0.0035696884
cyberspace,0.003423139
galaxy,0.0034165583
border,0.0033876644
visit,0.003347401
data,0.0033031772
rewrote,0.0032201577
scheduled,0.0030473333
mirror,0.003027331
considerations,0.003026879
hole,0.0029741859
mission,0.0029458655
peering,0.0029158848
quarter,0.002900438
thinks,0.0028476408
