word,value
trump,0.016919453
percent,0.016865844
fiorina,0.014747324
party,0.013164252
economists,0.012873018
immigration,0.011656378
trade,0.011622643
cruz,0.009867238
republican,0.0076789963
carly,0.007651721
prematurely,0.007604765
policies,0.007279484
donald,0.0071277185
convention,0.007016465
san,0.0070116185
saturday,0.006834181
business,0.006735271
touchdown,0.006552062
terrorism,0.006164451
president,0.0060681636
islamic,0.0060545197
visas,0.0060451054
breitbart,0.0060416725
think,0.0059475102
opposed,0.0059130266
declaring,0.005840694
spending,0.005781023
support,0.0057127303
restrictions,0.0054745995
number,0.00540729
economic,0.005140285
workers,0.0049475753
increased,0.0048680394
state,0.0046945103
attacks,0.0046649654
policy,0.004546884
presidential,0.0040215924
rally,0.003986251
obama,0.00396652
jersey,0.003959983
violent,0.003936689
bernardino,0.003925917
effectively,0.003921969
system,0.0038955796
needed,0.0038654297
contest,0.003863044
coming,0.0038472866
victory,0.003842673
impostor,0.0038375473
sen,0.003827991
nominating,0.0038072823
aint,0.0037933097
message,0.0037924203
reckoning,0.003770961
speech,0.0037690774
francisco,0.0037681046
earlier,0.0037661577
day,0.003735574
night,0.003710338
referenced,0.0036412936
calls,0.003615052
man,0.0036143318
blasting,0.0036052726
stands,0.0036049355
livingstone,0.0035979194
primary,0.003582863
condemning,0.0035654963
told,0.0035047138
spoke,0.00349312
american,0.0034687987
aimed,0.0034442726
extremists,0.0034340657
ripped,0.003413395
throw,0.0034121017
criticized,0.0034038294
disagreed,0.0034035265
national,0.0033970722
rewarded,0.003388526
donors,0.003347526
barack,0.0033463784
crooked,0.0033447018
expanding,0.0033271092
numbers,0.0033154383
issued,0.0032974794
close,0.0032910823
imports,0.003287725
lecturing,0.0032851638
continue,0.0032405825
political,0.0032351273
nationalism,0.0032094498
evil,0.003208161
survey,0.0032014155
big,0.0031906345
unfair,0.0031816568
vital,0.0031809509
march,0.0031593705
released,0.0031466007
trumps,0.0031077506
california,0.0031030483
association,0.0030816775
