word,value
unto,0.0071382252
man,0.0061641643
lord,0.006048896
god,0.0051739505
world,0.004582466
men,0.0043953066
thou,0.0042945496
thy,0.0040930947
great,0.003992126
good,0.0037938512
called,0.0036612996
life,0.0035787057
thus,0.0035364183
without,0.003335969
people,0.003198112
son,0.003095197
upon,0.002996651
things,0.0027816626
two,0.002722436
earth,0.0026613595
knowledge,0.002563547
would,0.0024581545
day,0.0024478757
body,0.0023406902
thee,0.0022946498
therefore,0.002128898
king,0.0019799839
mind,0.001930925
light,0.001917815
though,0.0018706372
heaven,0.0018227209
time,0.0018218737
way,0.0018191297
nature,0.001790234
place,0.0017501831
gods,0.0016682934
law,0.0016675446
true,0.0016444139
words,0.0016441115
word,0.0016418906
evil,0.0015600645
father,0.001546708
house,0.0015465986
death,0.0015250967
yet,0.001510734
fire,0.0015056253
israel,0.0014788262
three,0.0014761578
children,0.0014611302
together,0.001447523
written,0.0014271071
chapter,0.001426844
well,0.0014213563
soul,0.0014162719
brahman,0.0014071852
work,0.0013965904
years,0.0013822855
hath,0.0013647769
take,0.0013633022
hand,0.0013555936
water,0.0013480939
order,0.0013419366
long,0.0012860321
power,0.0012825637
works,0.0012479681
form,0.001242274
holy,0.0012274773
land,0.0012160069
truth,0.0012151289
whose,0.001203954
within,0.0011955352
went,0.001166407
verse,0.0011373545
shalt,0.0010990339
head,0.0010917797
brought,0.001064421
heart,0.0010599548
spirit,0.0010597219
spiritual,0.0010434419
sin,0.0010420008
find,0.0010300416
human,0.0010240135
took,0.0009949267
sun,0.0009769773
meaning,0.00097596913
set,0.0009620004
vol,0.00096049666
speak,0.00095263694
divine,0.0009452334
desire,0.00093353144
food,0.00093286776
free,0.0009265311
existence,0.0009178021
blessed,0.00091664336
higher,0.00091357064
christ,0.00091154774
person,0.0009084234
behold,0.0009066506
call,0.0009031986
david,0.0008902152
