word,value
court,0.013751117
swedish,0.010408728
failed,0.010359485
young,0.00971889
ruling,0.009586743
appeal,0.00909795
convention,0.0085726455
day,0.008431401
anarchists,0.007762332
case,0.007593644
free,0.0072131585
local,0.0070351744
ruled,0.0066448785
decided,0.006623468
victim,0.0064230794
evidence,0.006403233
sweden,0.00623351
migrant,0.006215669
judge,0.005946642
police,0.0057216645
prosecutor,0.005598223
woman,0.0053046853
indicated,0.0051825657
participate,0.0051430203
breitbart,0.0050376635
attack,0.0050144834
teens,0.004886571
rape,0.0048455326
ferry,0.0047985557
encounter,0.004721925
simply,0.004613858
party,0.004488038
leftists,0.0042350944
radicals,0.004203589
took,0.0041870777
movement,0.004065585
wearing,0.0040088682
raping,0.0039271996
cleveland,0.0037342436
turn,0.003677526
controversial,0.0035915975
think,0.0035702544
ride,0.0035510813
gathered,0.003531103
group,0.0035236732
clinton,0.0035227358
migrants,0.0035173383
johnson,0.0035082055
teenage,0.0034758989
action,0.003326359
drunk,0.003321856
prove,0.0033215068
walked,0.0033158348
crazy,0.0033113824
blood,0.0032873617
kristin,0.0032436769
sea,0.003224039
appeals,0.003186733
month,0.003177191
accused,0.0031676688
would,0.003155927
place,0.0031488365
friday,0.0030993754
advertised,0.0030686127
press,0.0030613388
organizers,0.003059111
reports,0.0030252882
finland,0.003017693
samples,0.0030113554
decision,0.0029770096
packed,0.0029567836
alleged,0.002950129
third,0.002932346
urine,0.0029116594
hours,0.002909102
year,0.002901241
student,0.0028841512
explaining,0.0028838257
walk,0.0028620975
men,0.0028565687
based,0.0028518909
walking,0.002836253
verdict,0.002833241
classified,0.0027884243
successful,0.0027876177
running,0.0026743177
sexual,0.00267065
support,0.0026621418
vote,0.002652123
warzone,0.0026514695
gary,0.0026006734
voters,0.0025948642
statement,0.00256764
carefully,0.0025644354
consensual,0.0025538157
groups,0.0025233321
code,0.0024986097
surrounded,0.002491233
ladies,0.0024823067
rage,0.0024804915
