word,value
convention,0.011892033
failed,0.009837547
simply,0.00925791
anarchists,0.008827678
police,0.007832317
president,0.0073368712
secretary,0.006158032
state,0.0060699806
syria,0.00579661
conflict,0.0053698733
russian,0.0053452165
day,0.005140034
support,0.005137785
movement,0.0049832202
group,0.0049503692
breitbart,0.0049479213
local,0.0048299637
tillerson,0.0047973194
participate,0.004792439
moscow,0.004703593
cleveland,0.0046060365
russia,0.0042688623
tensions,0.0040767477
putin,0.0039414098
wearing,0.003916036
trip,0.0038467383
leftists,0.0036967164
radicals,0.0036028272
failures,0.0033950713
whose,0.0033537897
flare,0.0033043614
sensitive,0.003280551
tuesday,0.0032653091
recipient,0.0032636053
rage,0.00324943
bashar,0.0031035645
friendship,0.0030921241
cnn,0.0030877844
told,0.0030860126
american,0.0030263886
rex,0.0030249108
wedge,0.002956131
inclinations,0.0029352254
final,0.0029146087
national,0.002906863
weaken,0.0029015106
use,0.0028914514
groups,0.0028864187
vladimir,0.0028686807
shame,0.0028504685
impotent,0.0028345133
reported,0.0028278541
biggest,0.0028230478
watch,0.0028223787
nod,0.0027955736
condemnation,0.0027920594
party,0.0027736756
difference,0.0027411159
gop,0.002740903
internal,0.0027268457
escorting,0.002721326
handful,0.0027177355
effort,0.0027109184
fireworks,0.0026951132
ladies,0.0026802134
seeking,0.0026797839
promised,0.0026786618
masks,0.002672945
running,0.0026472104
small,0.002642329
using,0.002642163
appointment,0.0026399053
officers,0.0026310387
efforts,0.0026181699
arrives,0.002615957
matter,0.0026154395
surrounded,0.0026141105
proved,0.0026115908
official,0.0025960337
attempt,0.0025886882
planned,0.0025645704
constructive,0.0025632295
damascus,0.0025505582
alleged,0.002545341
occasional,0.0025440794
military,0.0025373825
responsibility,0.0025320966
talks,0.0025210192
outshouted,0.0025169402
ongoing,0.0025151568
drive,0.0025146622
success,0.0024915303
diplomat,0.0024888134
strategy,0.0024786121
warzone,0.0024736926
street,0.0024718426
planning,0.0024659014
organizing,0.0024587875
international,0.0024521896
indicated,0.0024510345
