word,value
trump,0.018296588
border,0.0161176
trade,0.014987083
gunmen,0.009827212
patrol,0.009795296
orders,0.00867794
agent,0.008674223
cartel,0.008014691
wall,0.0073062405
law,0.0072863754
enforcement,0.006913373
mexican,0.0067193923
arizona,0.0062176785
media,0.0061402284
area,0.0059607727
memo,0.0057192366
agents,0.0051970803
shots,0.0051113227
donald,0.004974415
breitbart,0.0047996813
going,0.004674215
federal,0.004592006
persistent,0.0045868093
san,0.0045822025
fiorina,0.0045648306
struck,0.004398734
build,0.0043556457
republican,0.004323386
illegal,0.0043063792
party,0.0041897316
lawyers,0.004145085
racist,0.0040949876
white,0.00406282
judge,0.0040126834
free,0.003959176
protection,0.0039214063
vehicle,0.003800935
intrigue,0.0037874677
stance,0.0037122013
aimed,0.003691671
foreign,0.0036651816
organization,0.0036607666
trying,0.0036602153
executive,0.0036390903
apprehend,0.0036007434
multiple,0.0035886345
nafta,0.0035658143
group,0.0035545568
smuggling,0.0035535942
suspects,0.0034697326
fired,0.0034634615
customs,0.0034268429
surveillance,0.0034236703
terry,0.0034113498
day,0.003346274
drug,0.0033408932
calls,0.0033023655
saturday,0.0032581545
cruz,0.0031781709
southern,0.0031606061
islamic,0.0031335645
presidential,0.0030403424
unknown,0.0030253895
brian,0.0029440685
hamilton,0.0028738813
race,0.0028338714
fire,0.0028230927
rosberg,0.0028064186
officials,0.0027737014
touchdown,0.0026968152
station,0.0026544938
violated,0.0024202352
policy,0.002402275
terrorism,0.0023996944
telling,0.0023834687
mexicans,0.0023769897
campaign,0.002365913
firm,0.0023596599
case,0.002354092
carly,0.002325897
belonged,0.0023002
belongs,0.0022968834
members,0.0022888018
hates,0.002274793
states,0.0022734115
instruct,0.0022732557
distributed,0.0022685332
thinks,0.0022609155
unit,0.0022530893
words,0.0022460383
news,0.0022442287
outraged,0.0022415875
abusive,0.0022407589
gop,0.0022385684
months,0.0022299166
signing,0.002224356
diego,0.0022226232
hundreds,0.0022197405
companies,0.0022163955
entire,0.0022161754
