word,value
livingstone,0.014714229
party,0.010662384
travel,0.009726822
hitler,0.00814394
ken,0.008092211
supported,0.007820214
mayor,0.0076605487
restriction,0.0072887354
london,0.0071071642
order,0.0060863956
radio,0.0053570787
constitution,0.005223633
lax,0.005218063
friday,0.0051859184
international,0.0049257237
thereafter,0.004916806
killing,0.0046869544
labour,0.0046385434
controversial,0.004609418
decide,0.0043804557
jewish,0.0043542474
tribunal,0.004348388
stay,0.0043468485
continues,0.0043442617
member,0.0043190517
cooper,0.0043105087
temporary,0.0042691524
doors,0.0042306483
gathered,0.004224429
israel,0.004220988
leader,0.004199107
zionism,0.004194787
smear,0.0041648713
protests,0.004154938
entering,0.00413443
charges,0.0041203597
proponents,0.0041098287
evidence,0.004103925
future,0.0040984335
interview,0.0040953713
nazi,0.004067741
los,0.0040520006
protest,0.003995797
committee,0.003956769
national,0.0038533707
allegation,0.0038529478
ended,0.0038487855
hearing,0.0038019652
mad,0.0037807329
conduct,0.0037771026
disciplinary,0.0037742937
creation,0.0037423319
angeles,0.0037411696
criticises,0.0036985083
suspended,0.0036890944
campaign,0.0036797996
whether,0.0036714317
fights,0.0036583103
case,0.0036524264
saturday,0.003634013
adolf,0.0035833095
tuesday,0.0035702293
claimed,0.00356471
resumes,0.003551875
closed,0.0035005212
heard,0.0034178703
sparked,0.0034077675
rummell,0.0033981525
executive,0.0033942177
israeli,0.003389636
state,0.0033547545
claim,0.0033075404
lobby,0.0032727933
policy,0.0032528145
jews,0.00320189
engaged,0.0029577902
seattle,0.0028421727
comments,0.002807416
judge,0.002759824
fight,0.0026466637
twitter,0.0025222297
february,0.0025130096
late,0.0024866886
eastern,0.0024700696
varying,0.0024649452
news,0.0024618378
bradley,0.0024404589
components,0.0023913695
erupt,0.0023518463
demonstrating,0.0023402327
numbered,0.0023370627
headscarves,0.002317148
middle,0.0023003744
tom,0.0022937434
terminal,0.0022928086
protesters,0.0022783375
division,0.002268924
sizes,0.002250341
knx,0.0022468062
photos,0.0022414476
