word,value
drone,0.008965878
debate,0.0074093514
drones,0.0061573153
administration,0.0056322957
qaeda,0.005366299
counterterrorism,0.0052397666
hostages,0.0051071816
targeting,0.0048205773
american,0.00466382
strategy,0.0042963545
risks,0.003950688
death,0.0035160894
political,0.003500542
porto,0.0034164495
weinstein,0.003406604
january,0.0033659425
rationale,0.003359222
places,0.0033033346
troops,0.0032825917
backlash,0.0032682156
renewing,0.0031824957
purposes,0.0031805972
civilian,0.003102272
counterterror,0.0030724849
fewer,0.0030677277
italian,0.0030553262
operation,0.003048318
announcement,0.0030438828
innocent,0.0030294445
thursday,0.0030152614
two,0.0030051284
unmanned,0.0029959576
result,0.0029411942
pressure,0.0029382745
security,0.0029248889
technology,0.0028970488
policy,0.0028727143
element,0.0028613105
things,0.0028496014
accidentally,0.0028459893
activist,0.0028182433
military,0.0027868026
called,0.0027843623
pakistan,0.0027749708
carries,0.002767633
transparency,0.00276564
devices,0.0027625782
provoked,0.0027329198
government,0.0027082178
strike,0.0026967
central,0.0026796123
barack,0.0026506342
controversial,0.0026213236
mobilizing,0.0026008447
strikes,0.0025970566
secret,0.0025444406
keep,0.0025439344
afghanistan,0.0025360319
perspective,0.0025331266
sending,0.0024936413
groups,0.0024901067
needing,0.0024848615
secrecy,0.0024812098
shrouded,0.0024708712
including,0.0024678858
ground,0.0024459842
puts,0.0024354036
critics,0.002431559
giovanni,0.0024176459
president,0.0024173774
bets,0.0024066893
festival,0.0023983424
national,0.0023819106
use,0.0023801064
return,0.0023486698
think,0.0022629818
poses,0.002261041
increased,0.0021845987
lot,0.0021701066
casualties,0.0021602875
killed,0.0021143674
compound,0.0020534217
warren,0.0019061286
german,0.0015156793
police,0.0014574666
migrants,0.0014319355
reports,0.0011349054
gangs,0.0011294694
sexually,0.0010918422
essen,0.0009819035
girls,0.0009800401
town,0.00091332203
attacks,0.00091192574
harassed,0.0008641317
highest,0.00085624686
westen,0.00082655577
large,0.0008134802
apparent,0.0008091886
gang,0.00080266345
zeitung,0.00080149504
