word,value
god,0.008124427
man,0.005922271
thou,0.0040279455
men,0.0038025603
note,0.0032237736
things,0.003116268
would,0.0031022949
world,0.0030891194
thy,0.002974902
called,0.0029077884
body,0.0028086742
thus,0.002785851
great,0.002716805
upon,0.0026768136
unto,0.002671347
good,0.0026338703
earth,0.0026329497
iii,0.0026296615
therefore,0.0026236777
nature,0.0026069076
lord,0.0025431323
knowledge,0.002513364
soul,0.0024936993
two,0.0024751276
time,0.0023188987
verse,0.0022822223
without,0.0022380294
gods,0.0022312002
brahman,0.0021971583
life,0.002149986
day,0.0021382
son,0.0021371464
people,0.002039853
way,0.0019366151
thee,0.001918343
place,0.0018871091
word,0.0018817123
words,0.0018749866
yet,0.0017689012
water,0.0017077115
evil,0.0016798264
true,0.001608981
agni,0.0015992824
hath,0.0015974388
death,0.0015285726
though,0.0015268918
well,0.0015244408
viii,0.0015177238
whose,0.001489877
divine,0.0014778931
order,0.0014113258
fire,0.0014100578
thought,0.0014046209
light,0.0014013397
three,0.0013972452
highest,0.0013402952
sense,0.0013261131
works,0.0013209487
form,0.0012711987
hand,0.0012373823
truth,0.0012072151
spiritual,0.0011951851
king,0.0011917928
chapter,0.0011856973
house,0.0011806564
power,0.0011714272
heaven,0.0011693642
long,0.0011597626
father,0.0011267136
together,0.0011241762
set,0.0011176997
take,0.0011173907
reason,0.0011115929
human,0.001103569
sun,0.0010956178
years,0.0010881145
vii,0.0010850312
christ,0.0010775453
maruts,0.0010713735
days,0.0010711426
spirit,0.0010613446
holy,0.0010555001
text,0.0010533863
mind,0.0010351066
thing,0.0010334583
passage,0.0010214477
glory,0.0010195512
love,0.0010148818
meaning,0.0009919929
desire,0.000991272
second,0.0009896781
eternal,0.0009776313
work,0.0009703989
person,0.0009699457
within,0.00096865377
whether,0.000956759
heart,0.00095490494
vol,0.0009545889
art,0.0009424148
book,0.0009380856
