word,value
hamilton,0.015447578
rosberg,0.011470423
teammate,0.010311131
flynn,0.009542784
standings,0.007308976
grand,0.0069402093
take,0.0069273906
grid,0.006815629
lewis,0.0066841636
prix,0.00653238
house,0.0065050693
hungarian,0.0064664045
committee,0.0060152765
trump,0.0059440713
white,0.0059138285
oversight,0.004394671
race,0.004335881
turn,0.0042533395
started,0.0041790335
course,0.004174564
disrupted,0.004115901
verstappen,0.0040178043
indicate,0.0039733825
inquiry,0.00395345
law,0.0039339154
lead,0.003932568
fastest,0.0039295913
nico,0.0039167632
double,0.0038384355
wins,0.0038377068
battled,0.003834129
fourth,0.003825927
victory,0.003811196
red,0.0038006927
forgotten,0.0037952245
events,0.003792791
teen,0.0037751961
bull,0.0037669437
sebastian,0.0037654603
fortunate,0.003719115
sunday,0.0037154353
vettel,0.0037133312
trains,0.0037094946
waved,0.0037006736
took,0.0036966538
government,0.0036667902
ricciardo,0.003662106
yellow,0.0036508078
slow,0.0036502518
starting,0.0036388934
second,0.0036293108
dramatic,0.0036280835
ferrari,0.0035908055
overtaking,0.0035767758
circuit,0.0035604136
video,0.003549161
point,0.0035465593
stars,0.0035334392
rules,0.0035158978
secured,0.0035109203
sixth,0.0035064502
championship,0.0035061615
fernando,0.0034969705
raced,0.0034898329
top,0.0034854817
qualifying,0.0034853069
difficult,0.0034781094
max,0.0034601232
corner,0.0034596862
eased,0.0034516684
game,0.0034485604
mercedes,0.0034357111
seldom,0.0034319218
looked,0.0034201948
move,0.0034003532
establish,0.0033949066
kimi,0.0033877497
notoriously,0.0033801838
disappointed,0.0033686038
final,0.003359542
pip,0.0033526612
moved,0.0033391938
raikkonen,0.0033227762
alonso,0.0033170164
despite,0.0033043416
broken,0.0033004247
ruled,0.0032882434
remain,0.003269284
spot,0.0032523274
third,0.0032450743
daniel,0.0032432023
flags,0.0032126184
session,0.0031932562
lap,0.0031819069
within,0.0031670318
drivers,0.0031398707
saturday,0.0030944878
workers,0.0030588438
visit,0.0030293171
russian,0.0030015127
