word,value
border,0.017794538
party,0.013280186
patrol,0.00953148
law,0.009160069
cartel,0.008460338
agent,0.008246901
gunmen,0.008218719
livingstone,0.00803225
arizona,0.008019946
shots,0.0071420935
london,0.006777904
enforcement,0.0066715362
area,0.005955906
struck,0.00589087
bid,0.005778784
heard,0.0053053587
kassam,0.0051042917
leadership,0.0048855315
fire,0.004818661
southern,0.0045630643
customs,0.0045575006
unit,0.004557125
surveillance,0.004505561
radio,0.0044790735
multiple,0.0044347257
supported,0.0044332705
officials,0.0041293744
comments,0.004118579
federal,0.00408775
brian,0.004021042
suspects,0.0039616986
apprehend,0.0039516645
mayor,0.0039209435
protection,0.0038721825
ken,0.0038708544
vehicle,0.003832768
drug,0.0037570174
group,0.0036659192
smuggling,0.0036180513
unknown,0.0035497732
friday,0.0035362544
trying,0.0035328271
hitler,0.0035316406
agents,0.0035153264
state,0.003418059
fired,0.003412369
station,0.0033954943
terry,0.0031364048
independence,0.0031088234
corridor,0.0029940235
policy,0.0029546076
gaunt,0.0029245964
labour,0.0027696216
engaged,0.0027460635
gun,0.0026004356
whether,0.0025927117
fights,0.0025794934
conduct,0.0025791875
fight,0.0025788574
cochise,0.0025629436
arrived,0.002551634
criticises,0.0025480567
gunfire,0.0025311965
hearing,0.0025128599
locate,0.0024911507
ukip,0.0024904439
adolf,0.002480931
campaign,0.0024789548
provided,0.0024470724
creation,0.002438156
israeli,0.0024298194
patrolling,0.002424478
resumes,0.0024077478
host,0.002405373
bullets,0.0023930937
confirmed,0.0023867753
evidence,0.0023838296
claim,0.0023831923
interview,0.0023806614
breaking,0.002373346
stay,0.002373076
update,0.0023628168
lobby,0.002348349
jews,0.0023461308
firing,0.0023428241
trade,0.0023415494
effort,0.0023332722
told,0.0023279323
claimed,0.0023242282
kingdom,0.0023132088
honors,0.0022996725
tuesday,0.0022880908
sparked,0.0022847925
road,0.0022780749
committee,0.0022519557
suspended,0.002238289
united,0.0022327355
investigating,0.0022141968
suspected,0.0022112206
operating,0.002192237
